Day,DESTINATION_AIRPORT,cancellCount,delaySum,SumCount,delayCount,avgDelay,LATITUDE,LONGITUDE,Rain,Fog,Snow
1,AUS,1,,1,0,0,30.19453,-97.66987,,,
1,BNA,0,35,2,2,17.5,36.12448,-86.67818,,,
1,BOS,0,88,2,2,44,42.36435,-71.00518,,,
1,BUF,0,93,2,2,46.5,42.94052,-78.73217,,,
1,CHO,0,104,1,1,104,38.13864,-78.45286,,,
1,CHS,0,30,1,1,30,32.89865,-80.04051,,,
1,CVG,0,27,1,1,27,39.04614,-84.66217,,,
1,DEN,0,45,2,2,22.5,39.85841,-104.667,,,
1,DFW,1,181,5,4,36.2,32.89595,-97.0372,,,
1,DTW,0,31,1,1,31,42.21206,-83.34884,,,
1,FLL,0,132,3,3,44,26.07258,-80.15275,,,
1,IAD,0,27,1,1,27,38.94453,-77.45581,,,
1,IAH,0,70,3,3,23.33333333,29.98047,-95.33972,,,
1,LAS,0,67,2,2,33.5,36.08036,-115.15233,,,
1,LAX,0,226,6,6,37.66666667,33.94254,-118.40807,,,
1,MCO,0,339,8,8,42.375,28.42889,-81.31603,,,
1,MDW,0,19,1,1,19,41.78598,-87.75242,,,
1,MIA,0,119,2,2,59.5,25.79325,-80.29056,,,
1,MKE,0,46,2,2,23,42.94722,-87.89658,,,
1,MSP,0,45,2,2,22.5,44.88055,-93.21692,,,
1,ORD,0,154,3,3,51.33333333,41.9796,-87.90446,,,
1,PBI,0,26,1,1,26,26.68316,-80.09559,,,
1,PDX,0,26,1,1,26,45.58872,-122.5975,,,
1,PHX,0,139,5,5,27.8,33.43417,-112.00806,,,
1,RSW,0,33,2,2,16.5,26.53617,-81.75517,,,
1,SAN,0,68,2,2,34,32.73356,-117.18966,,,
1,SAV,0,100,1,1,100,32.12758,-81.20214,,,
1,SDF,0,33,1,1,33,38.17439,-85.736,,,
1,SEA,0,81,2,2,40.5,47.44898,-122.30931,,,
1,SFO,0,90,2,2,45,37.619,-122.37484,,,
1,SLC,0,55,2,2,27.5,40.78839,-111.97777,,,
1,SRQ,0,19,1,1,19,27.39533,-82.55411,,,
1,SYR,0,24,1,1,24,43.11119,-76.10631,,,
1,TPA,0,100,2,2,50,27.97547,-82.53325,,,
2,AUS,0,44,1,1,44,30.19453,-97.66987,,,
2,BNA,0,75,2,2,37.5,36.12448,-86.67818,,,
2,BOS,0,162,2,2,81,42.36435,-71.00518,,,
2,ABQ,0,16,1,1,16,35.04022,-106.60919,,,
2,BUF,0,51,1,1,51,42.94052,-78.73217,,,
2,DEN,0,112,3,3,37.33333333,39.85841,-104.667,,,
2,DFW,0,120,2,2,60,32.89595,-97.0372,,,
2,DTW,0,38,2,2,19,42.21206,-83.34884,,,
2,FLL,0,75,3,3,25,26.07258,-80.15275,,,
2,IAH,0,73,2,2,36.5,29.98047,-95.33972,,,
2,LAS,0,34,1,1,34,36.08036,-115.15233,,,
2,LAX,0,679,15,15,45.26666667,33.94254,-118.40807,,,
2,MCO,0,468,6,6,78,28.42889,-81.31603,,,
2,MDW,0,19,1,1,19,41.78598,-87.75242,,,
2,MIA,0,122,3,3,40.66666667,25.79325,-80.29056,,,
2,MKE,0,37,2,2,18.5,42.94722,-87.89658,,,
2,MSP,0,166,2,2,83,44.88055,-93.21692,,,
2,ORD,0,23,1,1,23,41.9796,-87.90446,,,
2,ATL,0,156,5,5,31.2,33.64044,-84.42694,,,
