MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,OLATITUDE,OLONGITUDE,DESTINATION_AIRPORT,DLATITUDE,DLONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,Departure,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1,1,AA,291,JFK,40.63975,-73.77893,AUS,30.19453,-97.66987,1700,,0,2020,,1,,,,,
1,1,WN,4190,LGA,40.77724,-73.77893,BNA,36.12448,-86.67818,1730,1800,18,1920,17,0,0,0,0,17,0
1,1,MQ,2949,JFK,40.63975,-73.77893,BNA,36.12448,-86.67818,1700,1719,17.31666667,1843,18,0,0,0,13,5,0
1,1,AA,1096,JFK,40.63975,-73.77893,BOS,42.36435,-71.00518,1545,1624,16.4,1700,35,0,0,0,24,11,0
1,1,B6,418,JFK,40.63975,-73.77893,BOS,42.36435,-71.00518,2055,2157,21.95,2204,53,0,0,0,6,47,0
1,1,B6,702,JFK,40.63975,-73.77893,BUF,42.94052,-78.73217,2139,2209,22.15,2305,27,0,0,0,13,14,0
1,1,B6,2302,JFK,40.63975,-73.77893,BUF,42.94052,-78.73217,1629,1731,17.51666667,1758,66,0,4,0,58,4,0
1,1,MQ,2773,LGA,40.63975,-73.77893,CHO,38.13864,-78.45286,1225,1427,14.45,1348,104,0,0,0,104,0,0
1,1,EV,5152,LGA,40.77724,-73.77893,CHS,32.89865,-80.04051,1615,1707,17.11666667,1839,30,0,0,0,30,0,0
1,1,MQ,2963,JFK,40.63975,-73.77893,CVG,39.04614,-84.66217,1510,1549,15.81666667,1728,27,0,0,0,27,0,0
1,1,DL,496,JFK,40.63975,-73.77893,DEN,39.85841,-104.667,2000,1957,19.95,2242,21,0,21,0,0,0,0
1,1,UA,509,LGA,40.77724,-73.77893,DEN,39.85841,-104.667,1717,1711,17.18333333,1957,24,0,24,0,0,0,0
1,1,AA,1114,LGA,40.77724,-73.77893,DFW,32.89595,-97.0372,1455,1529,15.48333333,1810,19,0,0,0,19,0,0
1,1,AA,1121,LGA,40.77724,-73.77893,DFW,32.89595,-97.0372,815,841,8.683333333,1130,25,0,0,0,25,0,0
